document_id,institution,jurisdiction,category,document_type,publication_date,period_covered,title,file_name,official_url,notes
cbi-private-credit-deposits-methodology-2011-06,Central Bank of Ireland,Ireland,credit_and_deposits,methodology_notes,2011-06-01,Not applicable,"Private Sector Credit and Deposits: Explanatory Notes","cbi_2011_06_private_credit_deposits_explanatory_notes.pdf","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics","Reference definitions and methodology; use to interpret private-sector credit and deposit series."
cbi-mortgage-arrears-methodology-2020-12,Central Bank of Ireland,Ireland,mortgage_arrears,methodology_notes,2020-12-01,Not applicable,"Residential Mortgage Arrears and Repossessions Statistics: Explanatory Notes","cbi_2020_12_mortgage_and_reposessions_explanatory_notes-2.pdf","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/mortgage-arrears","Reference definitions for arrears, restructures, legal status, and repossessions."
cbi-official-selected-rates-2024-04-15,Central Bank of Ireland,Ireland,official_interest_rates,time_series_csv,2024-04-15,Historical series through file extraction date,"Official and Selected Interest Rates","cbi_2024-04-15_official_and_selected_interest_rates-3.csv","https://www.centralbank.ie/statistics/interest-rates-exchange-rates","Historical official and selected interest-rate data."
cbi-retail-interest-rates-2026-06,Central Bank of Ireland,Ireland,retail_interest_rates,statistical_release,2026-07-31,2026-06-30,"Retail Interest Rates: June 2026","cbi_2026_06_retail_interest_rates-4.pdf","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/retail-interest-rates","Narrative monthly release covering household, mortgage, consumer, NFC loan, and deposit rates."
cbi-bank-lending-survey-2026-07,Central Bank of Ireland,Ireland,bank_lending_conditions,survey_release,2026-07-01,2026-Q2 actual; 2026-Q3 expectations,"Bank Lending Survey: July 2026 Survey Results","cbi_2026_07_bank_lending_survey_comments-5.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/bank-lending-survey","Covers credit standards, terms and conditions, credit demand, and funding conditions."
cbi-bank-lending-survey-2026-07,Central Bank of Ireland,Ireland,bank_lending_conditions,survey_release,2026-07-01,2026-Q2 actual; 2026-Q3 expectations,"Bank Lending Survey: July 2026 Survey Results","cbi_2026_07_bank_lending_survey_comments-5.pdf","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/bank-lending-survey","Covers credit standards, terms and conditions, credit demand, and funding conditions."
cbi-mortgage-arrears-2026-q1,Central Bank of Ireland,Ireland,mortgage_arrears,statistical_workbook,2026-05-01,2026-Q1,"Residential Mortgage Arrears and Repossessions Statistics: 2026 Q1","cbi_2026_Q1_mortgage_arrears_and_reposessions_statistics-7.xlsx","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/mortgage-arrears","Quarterly workbook; confirm the precise release date from the source page if needed."
cbi-rir-deposits-outstanding-2026-08-12,Central Bank of Ireland,Ireland,retail_deposit_rates,time_series_csv,2026-08-12,Historical monthly series through 2026-06-30,"Retail Interest Rates: Outstanding Deposits","cbi_2026-08-12_retail_interest_rates_deposits_oustanding-8.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/retail-interest-rates","Rates and volumes for outstanding household and NFC deposits."
cbi-rir-new-business-2026-08-12,Central Bank of Ireland,Ireland,retail_interest_rates,time_series_csv,2026-08-12,Historical monthly series through 2026-06-30,"Retail Interest Rates: New Business Loans and Deposits","cbi_2026-08-12_retail_interest_rates_loans_deposits_newbusiness-9.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/retail-interest-rates","Rates and volumes for new loan and deposit business."
cbi-rir-loans-outstanding-2026-08-12,Central Bank of Ireland,Ireland,retail_lending_rates,time_series_csv,2026-08-12,Historical monthly series through 2026-06-30,"Retail Interest Rates: Outstanding Loans","cbi_2026-08-12_retail_interest_rates_loans_oustanding-10.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/retail-interest-rates","Rates and volumes for outstanding household and NFC loans."
cbi-rir-renegotiated-loans-2026-08-12,Central Bank of Ireland,Ireland,mortgage_rates,time_series_csv,2026-08-12,Historical monthly series through 2026-06-30,"Retail Interest Rates: Renegotiated Loans","cbi_2026-08-12_retail_interest_rates_renegotiated_loans-11.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/retail-interest-rates","Rates and volumes for renegotiated consumer and house-purchase loans."
cbi-rir-mortgage-2026-08-17,Central Bank of Ireland,Ireland,mortgage_rates,time_series_csv,2026-08-17,Historical monthly series through 2026-06-30,"Retail Interest Rates: Mortgage Lending","cbi_2026-08-17_retail_interest_rates_mortgage-12.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/retail-interest-rates","Mortgage interest rates and volumes by fixation category."
cbi-credit-house-purchase,Central Bank of Ireland,Ireland,household_credit,time_series_xls,Unknown,Historical series through file extraction date,"Credit for House Purchase","cbi_credit_house_purchase-13.xls","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics","House-purchase credit time series; identify the final observation date within the workbook."
cbi-credit-deposits-households,Central Bank of Ireland,Ireland,household_credit_and_deposits,time_series_xls,Unknown,Historical series through file extraction date,"Credit and Deposits of Irish Private Households","cbi_credit-deposits_irish_private_households-14.xls","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics","Household credit and deposit time series; identify the final observation date within the workbook."
ecb-decision-2026-04,European Central Bank,Euro area,monetary_policy_decision,decision_statement,2026-04-19,2026-04-19,"ECB Monetary Policy Decision Statement","ecb_2026-04-19_decision-statement-15.pdf","https://www.ecb.europa.eu/press/govcdec/mopo/html/index.en.html","Official monetary-policy decision statement."
ecb-decision-2026-05,European Central Bank,Euro area,monetary_policy_decision,decision_statement,2026-05-30,2026-05-30,"ECB Monetary Policy Decision Statement","ecb_2026-05-30_decision-statement-16.pdf","https://www.ecb.europa.eu/press/govcdec/mopo/html/index.en.html","Official monetary-policy decision statement."
ecb-decision-2026-06-11,European Central Bank,Euro area,monetary_policy_decision,decision_statement,2026-06-11,2026-06-11,"ECB Monetary Policy Decision Statement","ecb_2026-06-11_decision-statement-17.pdf","https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260611~4d41bd5e83.en.html","Official monetary-policy decision statement."
ecb-decision-2026-07-23,European Central Bank,Euro area,monetary_policy_decision,decision_statement,2026-07-23,2026-07-23,"ECB Monetary Policy Decision Statement","ecb_2026-07-23_decision-statement-18.pdf","https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260723~29f24d99bc.en.html","Official monetary-policy decision statement."
ecb-corporate-interest-rates-2026-07-31,European Central Bank,Euro area,corporate_lending_rates,time_series_csv,2026-07-31,Historical monthly series through file extraction date,"Corporate Interest Rates","ecb_2026-07-31_corporate_interest_rates-19.csv","https://data.ecb.europa.eu/data/datasets/MIR","Euro-area corporate lending and deposit rate series; record individual series definitions in your README."
cbi-money-banking-2026-06,Central Bank of Ireland,Ireland,money_and_banking,statistical_release,2026-07-01,2026-06-30,"Money and Banking Statistics: June 2026","cbi_2026_06_money_and_banking_statistics-20.pdf","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics/money-and-banking-statistics","System-level banking and monetary aggregates; confirm exact release date from the source page."
cbi-loans-smes-2026-07-07,Central Bank of Ireland,Ireland,sme_credit,time_series_csv,2026-07-07,Historical series through file extraction date,"Loans to Small and Medium-Sized Enterprises","cbi_2026-07-07_loans_to_smes-22.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics","SME lending time series; identify final observation date from the CSV."
cbi-loans-irish-businesses-2026-07-07,Central Bank of Ireland,Ireland,business_credit,time_series_csv,2026-07-07,Historical series through file extraction date,"Loans to Irish Businesses","cbi_2026-07-07_loans_to_irish_businesses-21.csv","https://www.centralbank.ie/statistics/data-and-analysis/credit-and-banking-statistics","Business lending time series; identify final observation date from the CSV."
